Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,0.004204,0.005632,0.0,100000000,99999999
1,2.8e-05,0.001456,0.0,100000000,99999999
2,2.8e-05,0.001456,0.0,100000000,99999999
3,2.8e-05,0.001456,0.0,100000000,99999999
4,2.8e-05,0.001456,0.0,100000000,99999999
5,2.8e-05,0.001456,0.0,100000000,99999999
6,2.8e-05,0.001456,0.0,100000000,99999999
7,2.8e-05,0.001456,0.0,100000000,99999999
8,2.8e-05,0.001456,0.0,100000000,99999999
9,2.8e-05,0.001456,0.0,100000000,99999999
