Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,0.000432,0.000572,3.672809600830078,0,0
1,2.4e-05,0.00014,3.357325315475464,0,0
2,2.4e-05,0.00014,3.3874270915985107,0,0
3,2.4e-05,0.00014,3.327007532119751,0,0
4,2.4e-05,0.00014,3.7496376037597656,0,0
5,2.4e-05,0.00014,3.396845579147339,0,0
6,2.4e-05,0.00014,3.562687635421753,0,0
7,2.4e-05,0.00014,3.4666671752929688,0,0
8,2.4e-05,0.00014,3.622948169708252,0,0
9,2.4e-05,0.00014,3.7015230655670166,0,0
