Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,0.00046,0.000572,0.18833494186401367,103074,414505
1,5.2e-05,0.00014,0.1727445125579834,103074,414505
2,5.2e-05,0.00014,0.17270421981811523,103074,414505
3,5.2e-05,0.00014,0.18834137916564941,103074,414505
4,5.2e-05,0.00014,0.17228007316589355,103074,414505
5,5.2e-05,0.00014,0.17296338081359863,103074,414505
6,5.2e-05,0.00014,0.17258572578430176,103074,414505
7,5.2e-05,0.00014,0.17269206047058105,103074,414505
8,5.2e-05,0.00014,0.1751844882965088,103074,414505
9,5.2e-05,0.00014,0.19143176078796387,103074,414505
