Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,2.8e-05,0.00014,0.009516477584838867,41232,44999
1,2.8e-05,0.00014,0.0,41232,44999
2,2.8e-05,0.00014,0.015624761581420898,41232,44999
3,2.8e-05,0.00014,0.015613079071044922,41232,44999
4,2.8e-05,0.00014,0.015627145767211914,41232,44999
5,2.8e-05,0.00014,0.016026020050048828,41232,44999
6,2.8e-05,0.00014,0.015616416931152344,41232,44999
7,2.8e-05,0.00014,0.01562047004699707,41232,44999
8,2.8e-05,0.00014,0.015626192092895508,41232,44999
9,2.8e-05,0.00014,0.016031980514526367,41232,44999
