Iteracao,Uso de Memoria - atual (MB),Uso de Memoria - Pico (MB),Tempo de Execucao (s),X,Indice
0,2.8e-05,0.00014,0.04838442802429199,86084,86084
1,2.8e-05,0.00014,0.03126645088195801,86084,86084
2,2.8e-05,0.00014,0.044268131256103516,86084,86084
3,2.8e-05,0.00014,0.03126215934753418,86084,86084
4,2.8e-05,0.00014,0.03125119209289551,86084,86084
5,2.8e-05,0.00014,0.0316615104675293,86084,86084
6,2.8e-05,0.00014,0.03126835823059082,86084,86084
7,2.8e-05,0.00014,0.031264305114746094,86084,86084
8,2.8e-05,0.00014,0.031650543212890625,86084,86084
9,2.8e-05,0.00014,0.0312650203704834,86084,86084
